質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,注目度,回答競争率,受付終了まで,URL,本文冒頭
2026/1/11 5:50,政治、社会問題,erf********,0時間1分,0,0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324161457,現在、国内の暴力団では山口組が最大の勢力団体でしょうか？
2026/1/11 5:50,家族関係の悩み,ホーリー,0時間1分,0,0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324161455,皆さん冬は好きですか？
2026/1/11 5:49,Yahoo!知恵袋,夜空の天使,0時間2分,1,0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324161454,恵方巻は食べますか？
2026/1/11 5:49,ダイエット,み,0時間2分,1,2,0.999,50.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324161453,これってクビレですか？それとも脂肪でくびれっぽく見えてるだけですか？教えてください汗またおすすめのジ...
2026/1/11 5:49,生き方、人生相談,p,0時間2分,0,1,0.5,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324161452,現在17歳の高校二年生です。 自分の人生しょうもなすぎて辛いです。 中学の頃から勉強が苦手で今日こそ...
2026/1/11 5:49,学校の悩み,ゆうか,0時間2分,0,3,1.499,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324161451,学校の体育館の匂いが好きな女子中学生か女子高生はいますか？
2026/1/11 5:49,恋愛相談、人間関係の悩み,あ,0時間2分,0,3,1.499,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324161449,付き合って4ヶ月でキスが恥ずかしいと言っている彼女の心理がよくわかりません 彼女は恥ずかしいと言って...
2026/1/11 5:49,生物、動物、植物,squ********,0時間2分,0,0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324161448,地上の生物は核戦争と温暖化で絶滅すると思いませんか？生き残れるのは、深海魚だけでまた、百億年後くらい...
2026/1/11 5:49,同人誌、コミケ,nek********,0時間2分,0,1,0.5,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324161447,コミケへ一緒に行く友が代行頼まれてるけど行きたい作家さん何人かいてて私に代行変わりにお願い〜って言っ...
2026/1/11 5:49,ゲーム,ban********,0時間2分,0,2,0.999,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324161446,ホワイトアウトサバイバルについてです。 私は無課金でまだまだT11を開放出来ていませんが、T11を開...
2026/1/11 5:49,恋愛相談、人間関係の悩み,ce2ec83bb,0時間2分,1,4,1.998,25.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324161444,同窓会に行かせたくないです。 ワガママなのはわかっているのですが彼のことが好きだった子などが来ると思...
