ID,質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,回答難易度,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭,マイフラグ,ベストアンサーフラグ
1,2026/1/20 19:57,大相撲,Toto,5時間5分,3,43,14.3,0,2,0.141,6.98,0.02,0.83,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324498429,大相撲の名古屋場所のチケット購入について 今年の「大相撲の名古屋場所」を観に行きたいと考えています！！ 大人4人で60歳前後もいる男女家族です。 日程は、土曜または三連休の初日か中日を予定しています。...,0,0
2,2026/1/20 19:57,大学受験,313系0番台,5時間5分,2,34,17.0,0,0,0.111,5.88,0.02,0.44,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324498428,質問 ①2026年国公立大学理系志望で共通テスト地理総合、地理探求9割以上取れた人いますか？ ②あなたの地理総合、地理探求の点数は？ ③あなたが使用した地理参考書や地理問題集は？,0,0
3,2026/1/20 19:57,物理学,1051432780,5時間5分,0,30,30.0,0,0,0.098,0.0,0.0,0.1,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324498427,高校物理 コンデンサー 写真の(図e)がわかりません Pに正電荷を与えてるならPはプラスでAはマイナスになるのでは？,0,0
4,2026/1/20 19:57,大学受験,Winter,5時間5分,2,56,28.0,0,0,0.183,3.57,0.05,0.51,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324498426,共通テスト利用について 英語R:86点 英語L:83点 歴史総合日本史探究:75点 国語(漢文抜き)152/155点 で法政大学法学部法律学科B日程は 今年の難化を加味してどこくらいの合格可能性だと思...,0,0
5,2026/1/20 19:57,ポケットモンスター,ラッコ,5時間5分,0,2,2.0,0,0,0.007,0.0,0.0,0.01,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324498425,ポケマスで無課金で天井分のダイヤを入手するのにどのくらいかかりますか？ また、効率のいい集めた方を教えてください,0,0
6,2026/1/20 19:57,政治、社会問題,***********,5時間5分,2,34,17.0,1,2,0.111,5.88,0.02,0.96,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324498424,消費税減税の「検討を加速する」って、税源はこれから？検討ってことですよね。 「責任ある積極財政」ではなく、「無責任な積極財政」ですか？,0,0
7,2026/1/20 19:57,物理学,1153296519,5時間5分,1,10,10.0,0,0,0.033,10.0,0.0,0.2,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324498422,ブラッグの反射について質問です。 写真のように ①と②の光が干渉するのは分かるんですけど、 ①と③のような光が干渉することはないんですか？ あと追加で質問になってしまうんですけど、そもそも光の干渉につ...,0,0
8,2026/1/20 19:57,役所、手続き,い,5時間5分,4,105,26.2,0,1,0.344,3.81,0.09,1.09,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324498423,生活保護ですが2ヶ月以内くらいに 2、30万ためたいです。 引っ越したいからです。でも理由が自己都合になると思うので多分引越し費用は出ません。 自分のことだと我慢できるのですが引っ越したい理由が家族が...,0,0
9,2026/1/20 19:57,福祉、介護,gu********,5時間5分,1,17,17.0,0,0,0.056,5.88,0.01,0.22,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324498421,恋愛の時に相手の顔が悪いと冷めるケースも多いですか？,0,0
10,2026/1/20 19:57,大学受験,★,5時間5分,2,13,6.5,0,0,0.043,15.38,0.0,0.37,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324498419,明治大学文学部史学科志望です。 英語の過去問なのですが、抑えの日東駒専、國學院は全て8割後半〜9割あたりは取れるのに、明治になった瞬間6割5分くらいまで下がってしまいます。基礎はできると思うのですがM...,0,0
