ID,質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,回答難易度,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭,マイフラグ,ベストアンサーフラグ
1,2026/1/23 7:50,不妊,1152866004,6時間9分,4,35,8.8,0,0,0.095,11.43,0.01,0.63,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324581940,多嚢胞性卵巣症候群なのですが妊娠しずらいんですか？,0,0
2,2026/1/23 7:50,ライブ、コンサート,山田,6時間10分,1,17,17.0,0,0,0.046,5.88,0.01,0.18,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324581939,セカライ5th東京 現地のグッズ売り場？は何時から並べますか？,0,0
3,2026/1/23 7:50,メルカリ,YOTUBA,6時間10分,2,32,16.0,0,0,0.086,6.25,0.01,0.36,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324581936,メルカリコンビニ受取について質問です。 1月22日 （木曜）09:01にコンビニに商品が到着したら、いつまでに受け取れば良いでしょうか？大雪で外に出られない状況です。,0,0
4,2026/1/23 7:50,ポケットモンスター,1051903870,6時間10分,0,15,15.0,0,0,0.041,0.0,0.0,0.04,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324581937,4月にポケパークに行くために先着抽選で取りたいと思ってるのですが、開始時刻前に先着抽選ページに入っておいたら、おそらく開始時刻前ですという表示になると思うのですが、 その状態で開始時刻になった際に更新...,0,0
5,2026/1/23 7:50,iPhone,c6e7e2ed7,6時間10分,3,8,2.7,0,0,0.022,37.5,0.0,0.43,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324581935,iPhoneを失くして、iPhoneを探すを使おうとしたら、iPhoneを探すを使いたいならiPhoneに送った認証コードを読めって言われたんですけどつまり、詰みですか？,0,0
6,2026/1/23 7:49,恋愛相談、人間関係の悩み,blo********,6時間11分,1,4,4.0,0,0,0.011,25.0,0.0,0.15,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324581934,「それだけでも嬉しい」って思う事すらしてまらえなかったらよくいじけちゃい時ってありますよね。 皆さんならそう言う時、どうしますか?,0,0
7,2026/1/23 7:49,自動車,gra********,6時間11分,2,17,8.5,0,0,0.046,11.76,0.0,0.31,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324581933,メルセデスベンツに乗られている方へ 最新のメルセデスベンツだと、ピアノブラックを基調としたタッチ操作主体のスタリングホイールですが、一世代前はサテンメッキを基調とした物理操作主体のステアリングでした。...,0,0
8,2026/1/23 7:49,発達障害,b,6時間11分,7,68,9.7,2,12,0.183,10.29,0.02,2.63,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324581932,精神障害や発達障害は付き合う人や親しい友達にカミングアウトしますか？ 職場もクローズでしたがそれが辛くなり、医師のすすめでオープンで働くことに切り替えました。障がいを免罪符にという理由でなく、付き合う...,0,0
9,2026/1/23 7:49,アニメ,c3163c144,6時間11分,0,314,314.0,3,0,0.845,0.0,0.0,1.65,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324581931,呪術廻戦のアニメ最新話ひどくないですか？ ・全体的に急ぎ足 ・真衣との別れをさっさと終わらせて雑魚との戦闘シーンを長くする。 ・途中なぞに軽快なBGMを流す。 ・甚壱が蘭太を心配するシーンをカットする...,0,0
10,2026/1/23 7:49,恋愛相談、人間関係の悩み,arb********,6時間11分,2,19,9.5,0,0,0.051,10.53,0.0,0.32,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324581929,デートの日に彼の予定が入ったことについて相談です。 今月末は私の誕生日でディズニーに泊まりで行くのですが、その日にたまたま彼の同級会が行われることになりました。(彼の地元は千葉なのでディズニーから近い...,0,0
11,2026/1/23 7:49,職場の悩み,1052674354,6時間11分,3,14,4.7,0,0,0.038,21.43,0.0,0.44,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324581928,、朝6時半に起きるのがとても苦手です。 くっそ っていいながら起きてしまいます。 職場についてしばらくすると気持がすっと軽くなります。 皆さんは冬の寒い時期の早起きはどう工夫をしてますか？,0,0
12,2026/1/23 7:49,大学受験,be124c3e7,6時間11分,1,41,41.0,1,0,0.11,2.44,0.05,0.51,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324581926,阪大経済学部の総合型選抜で、面接大分コケてしまいました。（その質問には答えられませんと言ってしまった。） 共テは91%取れたのですが、ぼくが受かる確率はどのくらいでしょうか？,0,0
13,2026/1/23 7:49,コミック,tat********,6時間11分,0,41,41.0,0,0,0.11,0.0,0.0,0.11,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324581924,漫画を探しています。 もう一度読みたいのですがタイトル等思い出せません。 覚えているのが学生（高校生？）が毎話毎話異なる題材でディベートをしてその題材で種子法を扱っていたと言う事です。 日本の農業が外...,0,0
