質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,注目度,回答競争率,注目/競争比,受付終了まで,URL,本文冒頭
2026/1/11 13:52,コミック,あんこなし饅頭,0時間0分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171808,呪術廻戦について質問です。 呪霊操術は呪霊を倒さないと操作できないんですね？羂索は真人のこと倒してな...
2026/1/11 13:52,家族関係の悩み,1052672836,0時間0分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171807,子供のお預かりについて 質問です。 私は叔母ですが 2歳の甥をその子のアパートで見ることになりました...
2026/1/11 13:52,iPhone,maf********,0時間0分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171806,iPhone8を売りたいんですが、iPhoneを探すをオフにして、サインアウトしてから初期化しました...
2026/1/11 13:52,スマホアプリ,ygi********,0時間0分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171805,モンストマルチ掲示板について マルチのアプリが無くなったの最近を知って掲示板を使い始めたのですが時間...
2026/1/11 13:52,恋愛相談、人間関係の悩み,bd08df481,0時間0分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171804,異性との距離が近いのを治したいです。 私は男女関わらず距離が近いのですが、そのため男子にも距離が近く...
2026/1/11 13:52,ゴルフ,澤部,0時間0分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171803,ゴルフクラブについて質問です。 経験豊富な方にご回答いただけると大変助かります。 最近ゴルフを始めた...
2026/1/11 13:52,コンタクトレンズ、視力矯正,1252744394,0時間0分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171802,至急です！！カラコンに詳しいお姉さん達、下記のようなもので着色直径大きめのおすすめを教えてください；...
2026/1/11 13:52,家族関係の悩み,ts8********,0時間0分,0,2,2.987,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171800,毒親の母と絶縁したいが、鬱病持ちで 変に刺激したりすると自死でもされそうで 悩んでいます。 毒親育ち...
2026/1/11 13:52,恋愛相談,***********,0時間0分,0,1,1.493,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171801,24歳男性が初デートでカラコンをつけるのは許容範囲内ですか？ (あからさまなものではなく黒目をより大...
2026/1/11 13:52,アニメ,owa********,0時間0分,0,2,2.987,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171799,私が好きそうなアニメを教えてください。 ジャンルは問わないですが、キャラクター同士の日常会話が面白い...
2026/1/11 13:52,生き方、人生相談,鬼まさ,0時間0分,1,1,1.493,100.0,0.01,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171798,芸能人の結婚ニュースと離婚ニュースとでは､どちらの方を興味深く見てしまいますか？
2026/1/11 13:52,ヘアスタイル,1153078731,0時間0分,0,1,1.493,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171796,QuizKnockのとむさんの髪型ってなんて言う髪型ですか？
